seq_num,word,word_type,english_example,kashmiri_word,kashmiri_example,urdu_translation,chinese_word,chinese_example,turkish_word,turkish_example
1,about,Prep,"We will not talk about him.
",??????,???? ???? ??? ????? ??????? ???,?? ?? ?? ???? ??? ??? ???? ???? ???,??,????????,hakkinda,Onun hakkinda konusmayacagiz.
2,about,Adv,"Boys were sitting about in the park.
",?????? ??????,?????? ??? ?????? ???? ?????? ????? ?????? ,???? ???? ???  ???? ???? ????? ????,??,?????????,hakkinda,Çocuklar parkta oturuyorlardi.
3,about,Adv,"She is about to finish her homework.
",??? ???,?? ?? ??? ?? ???? ????? ???? ??? ??? ???????? ????,?? ???? ??? ??? ??????  ??? ???? ???? ???,??,????????,hakkinda,Ödevini bitirmek üzere.
4,about,Adv,"We will not complain about it any longer now.
",?????? ,??? ?????? ??? ??? ???? ???? ???????,?? ?? ???? ??? ?? ?? ????? ???? ???? ???,??,???????????,hakkinda,Artik bundan sikayet etmeyecegiz.
5,about,Prep,"I read a book about cricket.
",???????,??? ??? ???????? ??????? ??? ?????,??? ?? ???? ?? ???? ??? ??? ???? ?????,??,????????????,hakkinda,Kriket hakkinda bir kitap okudum.
6,about,Prep,"I dropped the pen somewhere about here.
",????? ???? ???,??? ????? ??? ???? ???? ????? ???? ???  ,??? ?? ??? ?? ???? ???? ??? ????,??,??????????????,hakkinda,Kalemi buralarda bir yere düsürdüm.
1,above,Prep,"Please fix a mirror above the wash basin.
",?????,??????? ?????? ????? ??? ?????? ????? ?????? ,???? ??? ??? ???? ?? ???? ??? ????? ???????,??,??????????????,üstünde,Lütfen lavabonun üstüne bir ayna sabitleyin.
2,above,Adv,"Grades B and above are considered satisfactory.
",?????,????? ?? ?? ???? ????? ??? ????? ???? ???? ??????? ,???? ?? ??? ?? ?? ???? ?? ???? ??? ????? ???? ???,??,B??????????????,üstünde,B ve üzeri notlar yeterli kabul edilir.
3,above,Prep,"The water rose above the danger mark.
",??????? ?????,?? ????? ???? ??? ??????? ???????,???? ???? ?? ???? ?? ???? ???? ????,??,??????????,üstünde,Su tehlike isaretinin üzerine çikti.
4,above,Prep,"The house has a thatched roof above.
",???????,????? ??? ??????  ????? ???,??? ?? ???? ??? ?? ??? ???,??,????????????,üstünde,Evin üstünde sazdan bir çati var.
5,above,Prep,"My brother lives in the flat above ours.
",?????,????? ??? ??? ???? ?????? ???? ????? ???? ?????,???? ????? ????? ???? ???? ???? ??? ???? ???,??,??????????????,üstünde,Kardesim bizim üst kattaki dairede yasiyor.
6,above,Adj,"Please reply at the above mentioned address.
",??????? ???,??????? ?????? ???? ?????? ???? ????? ????? ???? ????? ????,"""???? ??? ?????? ??? ?? ???? ????",??,????????,üstünde,Lütfen yukarida belirtilen adrese cevap verin.
1,abridged,Adj,"I read the abridged edition of Dickens`s `Oliver Twist`.
",?????? ???????????,??? ???? ??????  ????? “????? ????????“ ????? ???????,??? ?? ???? ?? '?????? ?????' ?? ????? ?????? ?????,??,???????«????»?????,kisaltilmis,Dickens'in 'Oliver Twist' kitabinin kisaltilmis baskisini okudum.
1,abroad,Adv,"He has relatives both in India and abroad.
",??????? ????,????? ??? ?????? ??? ??????????? ???? ??? ?????? ???? ??? ,?? ?? ???? ???  ???????? ??? ????? ??? ????? ??? ????,??,????????????,yurt disi,Hem Hindistan'da hem de yurt disinda akrabalari var.
2,abroad,Adv,"There is a rumour abroad about you having a love affair
",??????,?????? ???? ????? ???? ????? ????,"????? ???  ??????? ?????
 ??  ?????   ??",??,??????????,yurt disi,Yurt disinda ask iliskiniz olduguna dair bir söylenti var
1,abrupt,Adj,"The conversation was brought to an abrupt end.
",?????? ?????? ??? ??????,??? ???? ?????? ????? ?????,??? ??? ????? ??? ?? ????,???,??????????,ani,Konusma aniden sona erdi.
2,abrupt,Adj,"Everybody dislikes his abrupt manners.
",????? ,????? ?????? ????? ????? ??? ??? ??????? ??????,?? ???? ?? ?? ???? ???? ?? ?????? ???? ???,???,?????????????,ani,Onun ani tavirlarindan herkes hoslanmaz.
3,abrupt,Adj,It was an abrupt action.,??????,??? ?? ??? ????? ????/ ???,?? ??? ????? ???????? ????,???,??????????,ani,Ani bir eylemdi.
4,abruptly,Adv,"He ended his speech abruptly.
", ??????? ??????? ??? ? ????? ????? ????,????? ???? ??????? ?????? ???? ?????  ???????,?? ?? ???? ????? ????? ??? ???,??,?????????,aniden,Konusmasini aniden bitirdi.
1,abscond,V,"He is planning to abscond with his beloved.
",????????? ??????,??? ??? ?????? ?????? ???? ????? ????????? ??????,?? ???? ????? ?? ???? ????? ???? ?? ?????? ???? ?? ??? ???,??,?????????????,saklamak,Sevgilisiyle birlikte kaçmayi planliyor.
1,absence,N,"We shall not leave in his absence.
",??? ?????? ??? ????????,???? ???? ??? ???? ?????? ??? ?????  ????,?? ?? ?? ??? ??????? ??? ???? ???????,??,?????????????,yokluk,Onun yoklugunda ayrilmayacagiz.
1,absent,Adj,"He is always absent from the class.
",??? ????,???? ??? ?????? ????? ???? ??? ???? ????,?? ????? ???? ?? ??? ???? ???? ???,???,????????,mevcut olmayan,Sürekli sinifta yok.
1,absent,VT,"You cannot choose to absent yourself from the chemistry class.
",??????? ?????? ???????? ????,?? ??????? ??? ????????? ??????? ???? ??? ???? ???????,?? ??????? ???? ?? ??? ???? ???? ?? ?????? ???? ?? ?????,???,???????????,mevcut olmayan,Kendinizi kimya dersinden uzaklastirmayi seçemezsiniz.
1,absolute,Adj,"There is no absolute standard for beauty.
",??????,????????? ?????? ????? ??? ??? ?????? ????? ?????,???????? ?? ???? ???? ????? ???? ???,??,?????????,mutlak,Güzellik için mutlak bir standart yoktur.
2,absolute,N,"Their belief in God is absolute.
",?????? ?????? ?????? ???????,?????? ????? ??????? ?????? ??? ?????,?? ?? ??? ?? ???? ???? ???,??,?????????????,mutlak,Allah'a olan inançlari mutlaktir.
3,absolutely,Adv,"You are absolutely right.
",??????? ??????????,?? ????? ?????? ????,?? ????? ???? ??? ??? ????,???,????????,kesinlikle,Kesinlikle haklisin.
1,absorb,VT,"Dry sand absorbs water.
",??????,????? ????? ???? ?? ?????????,??? ??? ???? ??? ???? ???,??,????????,emmek,Kuru kum suyu emer.
2,absorb,VT,"His business absorbs his time.
",??????,???? ????? ?????? ??? ??? ???? ???????,?? ?? ??????? ?? ?? ??? ?? ??? ???? ???,??,????????????,emmek,Yaptigi is zamanini aliyor.
3,absorbed,Adj,"I was totally absorbed in the novel.
",???,??? ???? ?????? ???? ????? ????? ??? ?????,??? ???? ??? ???? ??? ??? ????,??,??????????,absorbe,Kendimi tamamen romana kaptirdim.
1,abstract,N,"You are requested to present the abstract of your paper.
",???????,????? ??????? ????? ?????? ?????? ??????? ???,?? ?? ????? ?? ?? ???? ???? ?? ????? ??? ?????,???,??????????,soyut,Bildirinizin özetini sunmaniz rica olunur.
2,abstract,Adj,"He is an abstract painter.
",?????????? ?????,??? ???? ??? ????????? ???? ???,?? ??? ?????? ???? ???  ,???,?????????,soyut,Soyut bir ressamdir.
3,abstract,Adj,"It is an abstract painting.
",?????,??? ???? ??? ????? ??????,?? ??? ?????? ?????? ???,???,????????,soyut,Soyut bir tablodur.
4,abstract,Adj,"Beauty and love are abstract.
", ??????? ?????,?????????? ??? ???? ??? ??????,???????? ??? ???? ?????? ???,???,?????????,soyut,Güzellik ve ask soyuttur.
5,abstract,Adj,"He has an abstract notion to change the system.
",?????,????? ??? ????? ???????? ???? ????? ??????,?? ?? ??? ???? ?? ????? ?? ??? ?????? ???? ???,???,?????????????????,soyut,Sistemi degistirmek gibi soyut bir fikri var.
6,abstract,V,"Two other points must be abstracted from the lecture.
",???????????,???? ??  ?????? ???? ??????? ???? ???????,????? ?? ?? ???? ???? ?? ????? ???? ????? ???,???,????????????,soyut,Dersten iki noktanin daha çikarilmasi gerekiyor.
7,abstract,V,"Most novels are abstract.
",?????????? ?????,????? ?? ?????? ???? ???? ?????????,????? ?? ???? ?????? ????,???,???????????,soyut,Çogu roman soyuttur.
8,abstraction,N,"She always talks in abstractions.
",??? ????? ????,?? ???? ?????? ??? ???? ??? ????? ?????,?? ????? ????? ??? ??? ???? ???,??,?????????,soyutlama,Her zaman soyutlamalarla konusuyor.
9,abstraction,N,"He was gazing at the lawn with an air of abstraction.
",????,??? ??? ???? ??? ?????? ??? ??? ??? ??? ????? ????,??  ???????? ?? ???? ??? ?? ??? ???? ??? ????,??,???????????,soyutlama,Soyutlanmis bir havayla çimlere bakiyordu.
1,absurd,Adj,"I find his ideas absurd.
",??????,???? ?????? ???? ??? ??? ????? ?????? ,???? ?? ?? ?????? ????? ??? ???? ????,??,???????????,saçma,Onun fikirlerini saçma buluyorum.
2,absurd,Adj,"That dress makes them look absurd.
",???? ???????,???? ?????? ???? ??? ??? ????? ????,??? ???? ????  ???????   ????? ????,??,??????????????,saçma,Bu elbise onlari saçma gösteriyor.
1,abuse,N,"Child abuse is rampant in the world.
",???????? ????????,??????? ???? ??? ???? ???? ??????? ??? ??? ???  ????,???? ??? ???? ?? ???? ??????? ???? ?? ???,??,??????????????,suistimal etmek,Dünyada çocuk istismari çok yaygin.
2,abuse,N,"The opposition party hurled abuses on the ruling party.
",??????,??????? ???? ???? ????????? ???? ??????,??????? ????? ?? ?????? ????? ?? ?????? ????,??,????????????,suistimal etmek,Muhalefet partisi iktidar partisine hakaretlerde bulundu.
3,abuse,N,"There is widespread abuse of energy resources.
",??? ????????,??????? ???????? ?????? ????? ??? ????? ??????? ????? ??? ???????? ????? ,??????? ?? ????? ?? ??? ?????? ?? ??? ??????? ?? ??? ???,??,??????????????,suistimal etmek,Enerji kaynaklarinin yaygin biçimde kötüye kullanilmasi söz konusudur.
4,abuse,VT,"The rowdies abused the journalist for reporting about their anti-social activities.
",?????? ??????????? ????? ????,?????? ?????? ????  ?????? ?????????? ??????? ??? ????? ?????? ???? ????? ????? ?????? ,??????? ?? ?? ?? ????? ????? ??????? ?? ???? ??? ??????? ???? ?? ?????  ?? ?????? ????,??,???????????????????,suistimal etmek,"Kabadayilar, anti-sosyal faaliyetleri hakkinda haber yaptigi için gazeteciyi taciz etti."
1,academic,Adj,"The academic standards differ in the institutions.
",???????,???????? ?????? ???? ??? ???? ???????? ??????? ?????,?????? ????? ?????? ??? ????? ???? ????,???,?????????????,akademik,Akademik standartlar kurumlar arasinda farklilik göstermektedir.
2,academic,Adj,"His knowledge is purely academic.
",???????,???? ????? ????? ??? ??? ???????,?? ?? ??? ??????. ???? ???,???,????????????,akademik,Onun bilgisi tamamen akademiktir.
3,academic,Adj,"Mr.Anand is quite an academic person.
",?????? ?????????? ??????,????? ??? ??? ??? ????? ????,???? ???? ???? ???? ????? ????,???,?????????????????,akademik,Sayin Anand oldukça akademik bir insandir.
1,academy,N,"The Royal Academy of drama sponsored them.
",????????? ??????,????? ??? ?????? ??? ???? ????????? ?????? ???????, ????? ?? ???? ?????? ?? ?? ??  ???? ????? ??? ?? ?,??,????????????,akademi,Kraliyet Drama Akademisi onlara sponsor oldu.
1,acceleration,N,"There seems to be no acceleration in their economic growth.
",????????????,?????? ???? ???? ???? ??? ??? ?????? ?????? ?????,???? ???? ?? ?? ?? ?? ????? ???? ??? ???? ???? ???? ??? ???,???,??????????????,hizlanma,Ekonomik büyümelerinde herhangi bir hizlanma yok gibi görünüyor.
1,accept,VT,"The machine only accepts 1 Re. coin.
",?????,?????? ???? ????? ??? ????? ????? ????? ,???? ??? ??? ??? ?? ???  ???? ???? ??? ,??,?????? 1 Re????,kabul etmek,Makine yalnizca 1 Re'yi kabul eder. madeni para.
2,acceptable,Adj,"A cup of tea would be most acceptable.
",?????? ?????? ??????? ????,??? ????? ??? ?????? ????? ?????? ??????,??? ?? ???? ?? ?? ????? ???? ???? ?????,????,???????????,kabul edilebilir,Bir fincan çay en kabul edilebilir olani olacaktir.
3,acceptance,N,"We have their acceptance on this issue as well.
",???????,??????? ???????? ???? ???? ??? ???? ????? ???,???? ?? ????? ?? ??? ?? ?? ?????? ???? ???,??,??????????????????,kabul,Bu konuda onlarin da kabulleri var.
1,access,N,"He was refused an access to the hallway.
",???????,????? ?? ?????????? ???? ??????? ???? ???? ?????,??? ????? ?? ????? ?? ????? ?? ??? ????,???,?????????,erisim,Koridora girmesine izin verilmedi.
2,access,V,"I have an access to on-line Library.
",?????? ?????,??? ??? ??????? ??????? ??? ???? ?????,???? ?? ???? ???????? ?? ????? ???? ???,???,???????????,erisim,Çevrimiçi Kütüphaneye erisimim var.
1,accident,N,"He met with a car accident.
",???????,????? ???? ??? ??????,??? ??? ??? ????? ?? ????? ???? ????,??,?????????,kaza,Bir araba kazasiyla tanisti.
1,accommodate,V,"The hotel can accommodate upto 100 guests.
",??????????????,?????? ???? ????? ????? ???? ????? ??????,???? ??? ?? ??????? ?? ?????? ???,??,??????? 100 ????,karsilamak,Otelde 100 kisiye kadar misafir agirlama kapasitesine sahiptir.
2,accommodate,V,"These policies are designed to accomodate all classes.
",?????? ??????,??? ????? ???? ???? ????? ???????? ???? ?? ?? ????? ???? ?? ????? ?????,?? ???????? ???? ????? ?? ???? ???? ?? ??? ????? ??? ????,??,?????????????,karsilamak,Bu politikalar tüm siniflara uyum saglayacak sekilde tasarlanmistir.
3,accommodate,V,"Dinosaurs couldn`t accomodate to the changing environment.
",??? ????? ??????,????????  ???? ?? ????? ???? ????? ????? ??????,???????? ????? ???? ????? ?? ????? ????  ??  ????,??,??????????????,karsilamak,Dinozorlar degisen çevreye uyum saglayamadi.
4,accommodate,V,"The banks accomodate poor farmers with loan.
",???? ??????? ?????? ??????? ??????? ????,?????? ??? ?????? ?????? ???? ??? ???? ???? ????? ,???? ?? ???? ?????? ?? ??? ????? ????,??,????????????,karsilamak,Bankalar yoksul çiftçiyi krediyle karsiliyor.
5,accommodation,N,"We found accomodation near the railway station itself.
",???,???? ????????? ??? ????? ??????? ????????,???? ????? ?????? ?? ???? ?? ????? ????,??,??????????????,konaklama,Tren istasyonunun yakininda kalacak yer bulduk.
6,accommodation,N,"Polar bears are facing accomodation problem due to the global warming.
",??????? ??????? ?????? ??????,???? ?????? ??? ????? ???????? ??? ???? ???? ??????? ?????? ??? ?????,???? ?????? ?? ????? ?????? ?? ??? ?? ????? ?? ????? ?? ????? ???,??,??????,???????????,konaklama,Küresel isinma nedeniyle kutup ayilari barinma sorunu yasiyor.
1,accompany,VT,"I accompanied her to the station.
",???? ????????? ??????,??? ??? ????? ?????? ???? ????,??? ?? ?? ???? ?????? ????,??,???????,eslik etmek,Ona istasyona kadar eslik ettim.
2,accompany,VT,"The singer was accompanied by his friend.
",???? ????,??????? ???? ???? ????? ????? ????,?????? ?? ???? ?? ?? ???? ??? ????,??,????????????,eslik etmek,Sarkiciya arkadasi da eslik etti.
1,accomplish,VT,"We can collectively accomplish the task of nabbing the murderers.
",?????? ????? ????? ?????,???? ????? ????? ????? ????? ????? ??? ?????? ????,?? ??????? ??? ?? ?????? ?? ????? ?? ??? ????? ?? ???? ????,??,????????????????,sonuçlandirmak,Katilleri yakalama görevini kolektif olarak basarabiliriz.
2,accomplished,Adj,"She is an accomplished artist.
",????? ????? ?????? ????? ???,?? ???? ???? ???? ???? ?????,?? ??? ???? ????? ???,???,?????????????,basarili,Basarili bir sanatçidir.
1,accord,N,"Israel and Palestine signed a peace accord.
",??????,???????? ??? ???????? ??? ????? ??? ??? ?????? ????? ????? ???????,??????? ??? ?????? ?? ??? ??? ?????? ?? ????? ????,??,????????????????,anlasma,Israil ve Filistin baris anlasmasi imzaladi.
2,accord,V,"His thoughts and actions do not accord.
",?????? ?????,???? ?????? ?????? ??? ????? ??? ??? ????,?? ?? ?????? ??? ????? ??? ????? ?? ?????? ???? ??????,??,???????????,anlasma,Düsünceleri ve eylemleri uyusmuyor.
3,accord,V,"Akbar was accorded this privilege.
",????,?????? ??? ??? ??????? ????? ????? ????,???? ?? ?? ????? ???? ????,??,???????????,anlasma,Ekber'e bu ayricalik tanindi.
4,accordance,N,"The rules are in accordance with the custom.
",?????? ??????,??????? ??? ??????? ??? ????? ???? ????, ????? ??? ? ???? ?? ????? ????,??,???????,uygunluk,Kurallar geleneklere uygundur.
5,according,Prep,"The work was done according to his instructions.
",???????,??? ???? ???? ???????? ??????? ??????? ?????,??? ?? ?? ?????? ?? ????? ??? ????,??,?????????????,binaen,Is onun talimatlarina göre yapildi.
6,accordingly,Adv,"You must work accordingly to the rules.
",???? ??????,??? ???? ?????? ??? ??? ??????,?? ?? ????? ?? ????? ??? ???? ?????,??,??????????,buna göre,Kurallara uygun çalismalisiniz.
1,account,N,"I have an account in the Central bank.
",??????,??? ??? ?????? ??????? ???? ??? ?????? ,???? ????? ???? ??? ????? ???,??,????????????,hesap,Merkez bankasinda hesabim var.
2,account,N,He gave an account of his experience in trekking.,??????? ???????,???? ???? ?????????? ???? ?????? ??????? ??????,?? ?? ?????? ??? ???? ????? ?? ???? ??? ??????,??,????????????,hesap,Trekking tecrübesini anlatti.
3,account,VT,"We could never account for this miscalculation.
",????? ????? ???? ?????,???? ????? ??? ?????? ??? ???? ?????? ??? ?????? ???? ??????,?? ?? ??? ???? ???? ?? ???? ?????? ???? ?? ?????,??,?????????????,hesap,Bu yanlis hesaplamanin hesabini asla veremeyiz.
4,account,VT,"A person is accounted minor until 18 years.
",??????? ???,??? ???? ??? ?????? ????? ??? ?????? ??????? ?????,??? ??? ?????? ??? ?? ?????? ????? ???? ???,??,18 ?????????????,hesap,Bir kisi 18 yasina kadar küçük sayilir.
5,account,VT,"The Indian market accounted for 40% of the total sales.
",????? ????? ????,????????????? ????? ????? ??? ??????? 40 ????? ??????,????????? ?????? ?? ?? ????? ?? 40 ???? ??? ????,??,?????????40%?,hesap,Hindistan pazari toplam satislarin %40'ini olusturdu.
1,accuracy,N,"The lawyer questioned the accuracy of my account.
",?????? ??????,??????? ??? ?????? ??????? ??? ?????? ????? ????,???? ?? ???? ?????? ?? ?????? ?? ???? ???????,???,?????????????,kesinlik,Avukat hesabimin dogrulugunu sorguladi.
2,accuracy,N,"We can no more predict the changes with greater accuracy.
",???????,???? ????? ??? ????? ??????? ??? ???????? ????? ????? ???? ???? ???????,"?? ????? ?????? ?? ???? ???????? ?? ???? ??? ???? ???? ?? ?????
",???,????????????????,kesinlik,Artik degisiklikleri daha dogru bir sekilde tahmin edemiyoruz.
3,accurate,Adj,"All his calculations are accurate.
",??????? ????????????,???? ????? ????? ????? ??? ??????,?? ?? ???? ?????? ???? ????,???,????????????,kesin,Yaptigi tüm hesaplamalar dogrudur.
4,accurately,Adv,He didn't take the measurement accurately.,????? ?????,???? ??? ??? ???? ????? ??????,?? ?? ??? ???? ????? ?? ???? ????,??,????????,dogru bir sekilde,Ölçümü dogru yapamadi.
1,accuse,VT,"They will accuse us of incompetency.
",??????? ???????????? ??????,??? ???? ???? ??????? ????? ?????,?? ?? ?? ?????? ?? ????? ?????? ???,?,??????????,suçlamak,Bizi beceriksizlikle suçlayacaklar.
2,accused,N,"The accused was acquitted of the charge.
",??????? ??????? ???? ???????,?????? ?? ????? ??? ???? ?????,???? ?? ????? ?? ??? ?? ??? ????,??,????????,sanik,Sanik suçlamadan beraat etti.
1,accustom,VT,"He quickly accustomed himself to this new way of life.
",???? ????,???? ???? ?????? ????? ?????? ??????? ?????? ???? ???? ???? ?????  ,?? ?? ???? ?? ?? ????? ?? ?? ??? ????? ?? ???? ???? ?? ????,??,????????????????,alistirmak,Bu yeni yasam tarzina kisa sürede alisti.
2,accustomed,N,The child is accustomed of sleeping in his mother's lap.,????? ???? ,???? ??? ????? ?????? ?????? ???? ???????? ?????,??? ??? ?? ??? ??? ???? ?? ???? ???,???,?????????????,alisilmis,Çocuk annesinin kucaginda uyumaya alismistir.
1,ace,N,What an ace trainer he is.,???????,??? ????? ??????? ?????? ????? ??? ????,?? ???? ???? ????? ???? ???? ???,??,??????????,as,O ne kadar basarili bir antrenör.
2,ace,N,"Akram is an ace chess player of India.
",?????,???????? ???? ??? ????? ???????????? ???? ????? ?????? ,???? ????? ?? ???? ????? ?????? ???,??,????????????????,as,"Akram, Hindistan'in as satranç oyuncusudur."
3,ace,V,I aced my English test.,????? ???? ????? ?????,??? ???? ?????? ????????? ??????? ????????? ???? ????? ?????? ??????,??? ?? ???? ??????? ?????? ??? ????? ?????? ???? ????,??,?????????????,as,Ingilizce sinavimda basarili oldum.
4,ace,Adj,"Anand is an ace chess player.
",?????,????? ??? ???????? ????? ???????,???? ????? ?? ??? ???? ?????? ????,??,???????????????,as,Anand basarili bir satranç oyuncusudur.
1,ache,N,"I am suffering from stomach ache since yesterday.
",???????,??? ??? ????? ?????? ?????? ???,??? ?? ?? ??? ?? ??? ??? ????? ????,??,??????????,agri,Dünden beri mide agrisi çekiyorum.
2,ache,V,"My heart aches on seeing her suffer.
",??? ???????,???? ??? ???? ????? ?????? ??????? ???? ??? ?????? ,???? ?? ??? ?? ?? ????? ???? ?? ????? ???? ???,??,?????,??????,agri,Onun aci çektigini görünce kalbim aciyor.
1,achieve,VT,"She achieved her goal despite setbacks.
",?????? ?????? ????? ?????,???????? ?????? ??? ????? ?? ?????? ?????? ???? ??????,?? ?? ???????? ?? ?????? ???? ???? ???? ????,??,??????,????????????,basarmak,Olumsuzluklara ragmen amacina ulasti.
1,achievement,N,"I congratulate you for your achievement.
",???????,??? ?????? ??? ????? ??????? ????? ?????? ???? ??? ?????,??? ?? ?? ??????? ?? ??? ???????? ??? ???? ????,??,??????????,basari,Basarinizdan dolayi sizi tebrik ediyorum.
1,acid,N,"This bottle contains acid.
",????? ??????,??? ?????? ???? ??? ????,?? ???? ??? ????? ???,?,??????????,asit,Bu sise asit içeriyor.
2,acid,N,"Irregular meals often release strong acid in the stomach.
",??????,????????? ??? ????? ??? ??????? ???? ??? ?????? ????  ?????? ?????? ???? ?????,???? ????? ???? ??? ??? ?????? ???? ???? ???,?,?????????????????,asit,Düzensiz yemekler siklikla midede güçlü asit salgilanmasina neden olur.
1,acquire,VT,"She will acquire the files by tommorrow.
",????? ?????,?? ???? ???? ???? ?????? ?????,?? ?? ?? ?????? ???? ??? ???,??,??????????????,elde etmek,Yarina kadar dosyalari alacak.
2,acquisition,N,"Acquisition of langauage is innate in a child.
",????????,????? ????? ??????? ??? ??? ???? ????? ?????,???? ?? ???? ??? ??? ???? ???? ???,??,??????????????,kazanma,Dil edinimi çocukta dogustandir.
1,acre,N,"The institute has been built on 35 acres of land.
",?????,??? ?????? ??? ???? ????? ????? ??????? ????? ???????,?? ????? 35 ???? ????? ?? ????? ??? ???,??,??????35???,dönüm,Enstitü 35 dönüm arazi üzerine kurulmustur.
1,across,Prep,"We ran all across the fields to catch the hens.
",??????????? ?????? ??????? ???,???? ????? ????? ???? ???? ????? ???????????,?? ?????? ?? ????? ?? ??? ???? ?????? ???  ????  ???? ??????,??,???????????,karsisinda,Tavuklari yakalamak için tüm tarlalari geçtik.
2,across,Adv,"I helped the old lady across the busy road.
",????? ??????? ????,??? ???? ???? ?????? ????? ????? ????? ?????? ????? ?????? ???? ???? ???? ????,??? ?? ????? ??? ?? ??? ????? ???? ?? ??? ?????? ??? ??? ???,??,????????????????,karsisinda,Yasli kadinin islek yoldan geçmesine yardim ettim.
3,across,Adv,"We should be across the village by night.
",?????,???? ???? ??? ???? ???? ????? ??????,???? ??? ?? ???? ?? ?? ??? ???? ??????,??,????????????,karsisinda,Gece köyün öbür tarafinda olmaliyiz.
4,across,Adv,"He leaned across to wait for us.
",??? ?????,????? ???????? ????? ?????? ??? ??? ??????,?? ????? ?????? ???? ?? ??? ?? ??? ??? ????,??,?????????,karsisinda,Bizi beklemek için egildi.
5,across,Prep,"The President`s address to the nation was broadcasted across the country.
",??????,??? ????? ????? ????? ????? ?? ????? ???? ?????? ??? ??????,??? ?? ??? ?? ???? ??? ??? ??? ??? ??? ????,??,????????????????,karsisinda,Cumhurbaskaninin millete hitabi ülke çapinda yayinlandi.
6,across,Prep,"My friend shouted from across the road.
",?????? ????? ??????,?????? ????? ??? ????? ????? ?????? ??????? ,???? ???? ?? ??? ?? ?? ??? ?? ?????,??,????????????,karsisinda,Arkadasim yolun karsi tarafindan bagirdi.
7,across,Prep,The baby kept on crawling across the floor.,?????? ?????,???? ???? ??????? ????? ????? ??????? ?????,??? ??? ?? ?? ??? ?????? ????,??,???????????,karsisinda,Bebek yerde sürünmeye devam etti.
